NOMEDEP;DE;DISTR;MUN;TIPOESC;COD_ESC;NOMESC;DS_PAIS;Nº ALUNOS
ESTADUAL - SE;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;8;9283;20 DE AGOSTO;Japão;1
ESTADUAL - SE;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;8;9283;20 DE AGOSTO;Síria;3
ESTADUAL - SE;LINS;LINS;LINS;8;26189;21 DE ABRIL;Venezuela;3
ESTADUAL - SE;CAMPINAS LESTE;CAMPINAS LESTE;CAMPINAS;8;18533;31 DE MARCO;Chile;1
ESTADUAL - SE;CAMPINAS LESTE;CAMPINAS LESTE;CAMPINAS;8;18533;31 DE MARCO;Dominicana, República;2
ESTADUAL - SE;CAMPINAS LESTE;CAMPINAS LESTE;CAMPINAS;8;18533;31 DE MARCO;Guiné-Bissau;1
ESTADUAL - SE;CAMPINAS LESTE;CAMPINAS LESTE;CAMPINAS;8;18533;31 DE MARCO;Haiti;6
ESTADUAL - SE;ADAMANTINA;DRACENA;DRACENA;8;31264;9 DE JULHO;Japão;1
ESTADUAL - SE;LESTE 4;CIDADE LIDER;SAO PAULO;8;909026;A HEBRAICA;Colômbia;1
ESTADUAL - SE;LESTE 4;CIDADE LIDER;SAO PAULO;8;909026;A HEBRAICA;Haiti;1
ESTADUAL - SE;LESTE 4;CIDADE LIDER;SAO PAULO;8;909026;A HEBRAICA;Venezuela;1
ESTADUAL - SE;MARILIA;MARILIA;MARILIA;8;33820;ABEL AUGUSTO FRAGATA;China;2
ESTADUAL - SE;MARILIA;MARILIA;MARILIA;8;33820;ABEL AUGUSTO FRAGATA;Venezuela;1
ESTADUAL - SE;JABOTICABAL;BEBEDOURO;BEBEDOURO;8;22767;ABILIO ALVES MARQUES;Colômbia;1
ESTADUAL - SE;ITAPETININGA;ITAPETININGA;ITAPETININGA;8;15106;ABILIO FONTES PROF;Colômbia;2
ESTADUAL - SE;ITAPETININGA;ITAPETININGA;ITAPETININGA;8;15106;ABILIO FONTES PROF;Japão;1
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;907224;ABRANCHE JOSE PROF;Bolívia;1
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;8;907224;ABRANCHE JOSE PROF;Venezuela;2
ESTADUAL - SE;ITU;SALTO;SALTO;8;15817;ACYLINO AMARAL GURGEL PROF;Bolívia;1
ESTADUAL - SE;ITU;SALTO;SALTO;8;15817;ACYLINO AMARAL GURGEL PROF;Japão;1
ESTADUAL - SE;ITU;SALTO;SALTO;8;15817;ACYLINO AMARAL GURGEL PROF;Líbano;1
ESTADUAL - SE;ITU;SALTO;SALTO;8;15817;ACYLINO AMARAL GURGEL PROF;Portugal;1
ESTADUAL - SE;ITU;SALTO;SALTO;8;15817;ACYLINO AMARAL GURGEL PROF;Venezuela;1
ESTADUAL - SE;SUL 3;GRAJAU;SAO PAULO;8;925329;ADA PELLEGRINI GRINOVER;Cabo Verde;1
ESTADUAL - SE;SUL 3;GRAJAU;SAO PAULO;8;925329;ADA PELLEGRINI GRINOVER;Guiné-Conacri;3
ESTADUAL - SE;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;8;28685;ADAHIR GUIMARAES FOGACA PROFESSOR;África do Sul;1
ESTADUAL - SE;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;8;28685;ADAHIR GUIMARAES FOGACA PROFESSOR;Bolívia;3
ESTADUAL - SE;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;8;28685;ADAHIR GUIMARAES FOGACA PROFESSOR;Venezuela;3
ESTADUAL - SE;CAIEIRAS;FRANCO DA ROCHA;FRANCO DA ROCHA;8;48823;ADAIL JARBAS DUCLOS;Colômbia;1
