NOMEDEP;DE;DISTR;MUN;TIPOESC;COD_ESC;NOMESC;DS_PAIS;Nº ALUNOS
ESTADUAL - OUTROS;ADAMANTINA;ADAMANTINA;ADAMANTINA;11;31082;EUDECIO LUIZ VICENTE PROF ETEC;Japão;1
ESTADUAL - OUTROS;ADAMANTINA;ADAMANTINA;ADAMANTINA;11;31100;HERVAL BELLUSCI ENGENHEIRO ETEC;Paraguai;2
ESTADUAL - OUTROS;ADAMANTINA;OSVALDO CRUZ;OSVALDO CRUZ;11;915865;AMIM JUNDI ETEC;Japão;1
ESTADUAL - OUTROS;AMERICANA;AMERICANA;AMERICANA;11;45962;POLIVALENTE DE AMERICANA ETEC;Bolívia;3
ESTADUAL - OUTROS;AMERICANA;AMERICANA;AMERICANA;11;45962;POLIVALENTE DE AMERICANA ETEC;China;1
ESTADUAL - OUTROS;AMERICANA;AMERICANA;AMERICANA;11;45962;POLIVALENTE DE AMERICANA ETEC;Haiti;1
ESTADUAL - OUTROS;AMERICANA;AMERICANA;AMERICANA;11;45962;POLIVALENTE DE AMERICANA ETEC;Japão;1
ESTADUAL - OUTROS;AMERICANA;AMERICANA;AMERICANA;11;45962;POLIVALENTE DE AMERICANA ETEC;Peru;2
ESTADUAL - OUTROS;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;11;925950;JOSE DAGNONI DR PROF ETEC;Haiti;1
ESTADUAL - OUTROS;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;11;925950;JOSE DAGNONI DR PROF ETEC;Marrocos;1
ESTADUAL - OUTROS;ANDRADINA;ILHA SOLTEIRA;ILHA SOLTEIRA;11;920548;ILHA SOLTEIRA ETEC DE;Peru;1
ESTADUAL - OUTROS;APIAI;APIAI;APIAI;11;564916;ETEC DE APIAI;Espanha;1
ESTADUAL - OUTROS;ARACATUBA;ARACATUBA;ARACATUBA;11;345623;ARACATUBA ETEC DE;Colômbia;1
ESTADUAL - OUTROS;ARARAQUARA;ARARAQUARA;ARARAQUARA;11;21842;ANNA DE OLIVEIRA FERRAZ PROFA ETEC;Angola;1
ESTADUAL - OUTROS;ARARAQUARA;ARARAQUARA;ARARAQUARA;11;21842;ANNA DE OLIVEIRA FERRAZ PROFA ETEC;Japão;1
ESTADUAL - OUTROS;ARARAQUARA;ARARAQUARA;ARARAQUARA;11;21842;ANNA DE OLIVEIRA FERRAZ PROFA ETEC;Venezuela;1
ESTADUAL - OUTROS;ARARAQUARA;MATAO;MATAO;11;907042;SYLVIO DE MATTOS CARVALHO PROF DR ETEC;Japão;1
ESTADUAL - OUTROS;BARRETOS;BARRETOS;BARRETOS;11;22248;RAPHAEL BRANDAO CEL ETEC;Camarões;2
ESTADUAL - OUTROS;BARRETOS;OLIMPIA;OLIMPIA;11;440115;ETEC PROFESSOR JOSE CARLOS SENO JUNIOR;Estados Unidos da América;1
ESTADUAL - OUTROS;BAURU;BAURU;BAURU;11;290695;RODRIGUES DE ABREU ETEC;Angola;2
ESTADUAL - OUTROS;BAURU;BAURU;BAURU;11;290695;RODRIGUES DE ABREU ETEC;Japão;2
ESTADUAL - OUTROS;BAURU;BAURU;BAURU;11;290695;RODRIGUES DE ABREU ETEC;Nigéria;2
